date,close
2025-01-01,100
2025-01-02,101
2025-01-03,102
2025-01-04,103
2025-01-05,102
2025-01-06,104
2025-01-07,105
2025-01-08,106
2025-01-09,107
2025-01-10,105
2025-01-11,106
2025-01-12,108
2025-01-13,109
2025-01-14,108
2025-01-15,110
2025-01-16,111
2025-01-17,112
2025-01-18,113
2025-01-19,112
2025-01-20,114
2025-01-21,115
2025-01-22,116
2025-01-23,117
2025-01-24,118
2025-01-25,119
2025-01-26,120
2025-01-27,121
2025-01-28,122
2025-01-29,123
2025-01-30,124
2025-01-31,125
2025-02-01,124
2025-02-02,126
2025-02-03,127
2025-02-04,126
2025-02-05,128
2025-02-06,129
2025-02-07,130
2025-02-08,131
2025-02-09,132
2025-02-10,133
2025-02-11,134
2025-02-12,133
2025-02-13,135
2025-02-14,136
2025-02-15,137
2025-02-16,138
2025-02-17,139
2025-02-18,140
2025-02-19,141
2025-02-20,142
2025-02-21,143
2025-02-22,144
2025-02-23,145
2025-02-24,146
2025-02-25,147
2025-02-26,148
2025-02-27,149
2025-02-28,150
2025-03-01,151
